,Model,Source,Dataset,Split,train_loss,train_r2,train_rho,val_loss,val_r2,val_rho,protein_length,sample_size
0,esm2_t33_650M_UR50D,viral,CVB3_2A_Alvarez,Pooled Split,0.3087518016497294,0.834837019443512,0.7812982400258383,0.4428207178910573,0.7475172678629557,0.7884880503018697,150,2992
1,esm2_t33_650M_UR50D,viral,CVB3_2A_Alvarez,Site Split,0.8225462138652802,0.5512005488077799,0.606759786605835,1.4375169674555461,0.24592500925064084,0.40396107236544293,150,2992
2,esm2_t33_650M_UR50D,viral,CVB3_2C_Alvarez,Pooled Split,0.29665156205495197,0.8320039908091227,0.8187387585639954,0.6286149024963379,0.6493224104245504,0.7598420182863871,329,6573
3,esm2_t33_650M_UR50D,viral,CVB3_2C_Alvarez,Site Split,0.6659372250239054,0.6215598781903585,0.7408850193023682,1.228748043378194,0.31639713048934937,0.5748427112897238,329,6573
4,esm2_t33_650M_UR50D,viral,CVB3_3C_Alvarez,Pooled Split,0.229263906677564,0.8564722537994385,0.7904961109161377,0.43248232205708814,0.7214519580205282,0.7179068525632223,183,3654
5,esm2_t33_650M_UR50D,viral,CVB3_3C_Alvarez,Site Split,0.5904983679453532,0.6308394273122152,0.7091237107912699,1.0352163314819336,0.32785532871882117,0.5531748533248901,183,3654
6,esm2_t33_650M_UR50D,viral,CVB3_3D_Alvarez,Pooled Split,0.10535568495591476,0.9344520370165507,0.8314176201820374,0.49180330832799274,0.6875292857487997,0.7381231983502706,462,9217
7,esm2_t33_650M_UR50D,viral,CVB3_3D_Alvarez,Site Split,0.7154345512390137,0.5548072655995687,0.6924511194229126,1.0877255996068318,0.30248248577117914,0.584285318851471,462,9217
8,esm2_t33_650M_UR50D,viral,CVB3_VP1_Alvarez,Pooled Split,1.1392990350723267,0.511904239654541,0.6511479417483012,1.2307017246882122,0.472972830136617,0.6254631082216898,281,5235
9,esm2_t33_650M_UR50D,viral,CVB3_VP1_Alvarez,Site Split,1.6628824472427368,0.2969418168067932,0.5216783682505289,1.8257877031962078,0.17228949069976798,0.4368062714735666,281,5235
10,esm2_t33_650M_UR50D,viral,CVB3_VP3_Alvarez,Pooled Split,1.0820477604866028,0.40860756238301593,0.5081004103024801,1.1020606358846028,0.38996734221776325,0.5061028500398,238,4526
11,esm2_t33_650M_UR50D,viral,CVB3_VP3_Alvarez,Site Split,1.1942211786905925,0.34062476952870685,0.49820249279340106,1.338864008585612,0.2391306559244791,0.4168256421883901,238,4526
12,esm2_t33_650M_UR50D,viral,DENV_POLG_Suphatrakul,Pooled Split,2.9432331720987954,0.5719851652781168,0.7359617153803507,2.8768816788991294,0.5843002796173096,0.7422070701917013,900,16897
13,esm2_t33_650M_UR50D,viral,DENV_POLG_Suphatrakul,Site Split,4.207154989242554,0.3869362274805705,0.618817925453186,5.936319669087728,0.14844616254170728,0.4141203463077545,900,16897
14,esm2_t33_650M_UR50D,viral,EV_CAPSD_Bakhache,Pooled Split,3.879385312398275,-0.004423697789510067,0.005001857721557233,3.7771177291870117,0.001480440298716209,0.15819574892520905,862,16378
15,esm2_t33_650M_UR50D,viral,EV_CAPSD_Bakhache,Site Split,3.9697418212890625,-0.0139855543772379,0.002828187503231067,3.5345801512400308,-0.0006077885627746407,0.10128632187843317,862,16378
16,esm2_t33_650M_UR50D,viral,HIV1_BF520_ENV_Haddox,Pooled Split,1.544170339902242,0.6525283654530843,0.8015543619791666,1.7408755620320637,0.6119260390599569,0.7820923328399658,852,12577
17,esm2_t33_650M_UR50D,viral,HIV1_BF520_ENV_Haddox,Site Split,2.438234806060791,0.4495846629142761,0.6509627898534139,3.6443052291870117,0.19748042027155555,0.45724454522132874,852,12577
18,esm2_t33_650M_UR50D,viral,HIV1_BG505_ENV_Haddox,Pooled Split,1.7880497376124065,0.6382975180943807,0.7926812767982483,1.8768775065739949,0.6218054294586182,0.787027895450592,860,12729
19,esm2_t33_650M_UR50D,viral,HIV1_BG505_ENV_Haddox,Site Split,2.3814160029093423,0.5202976067860922,0.7115118503570557,4.014419873555501,0.16576200723648069,0.43696078658103943,860,12729
20,esm2_t33_650M_UR50D,viral,IAV_H1_HA_Doud,Pooled Split,0.3295930027961731,0.7906273404757181,0.8912686705589294,0.6293003360430399,0.59108567237854,0.7765398422876993,565,10715
21,esm2_t33_650M_UR50D,viral,IAV_H1_HA_Doud,Site Split,0.6015888353188833,0.6120165983835856,0.7735441327095032,1.281392494837443,0.19484736522038779,0.4867706000804901,565,10715
22,esm2_t33_650M_UR50D,viral,IAV_H1_HA_Wu,Pooled Split,0.9052685697873434,-0.015758554140726702,0.00014578814928726687,1.3304807146390278,5.7478745778401695e-05,0.21336238582928976,565,2350
23,esm2_t33_650M_UR50D,viral,IAV_H1_HA_Wu,Site Split,0.9913364847501119,-0.020525813102722102,-0.007242461045583099,1.0534325043360393,1.045068105061849e-05,0.28599225481351215,565,2350
24,esm2_t33_650M_UR50D,viral,IAV_H1_NP_Doud,Pooled Split,0.8150453368822733,0.45718244711558026,0.6740197539329529,1.0253894329071045,0.3165904283523559,0.5712510347366333,498,9462
25,esm2_t33_650M_UR50D,viral,IAV_H1_NP_Doud,Site Split,1.1445798476537068,0.23177150885264072,0.483918438355128,1.4079627990722656,0.0827130873998006,0.3276588221391042,498,9462
26,esm2_t33_650M_UR50D,viral,IAV_H3_HA_Lee,Pooled Split,0.19275652865568793,0.8085876703262329,0.9015599886576334,0.41882962981859845,0.59123428662618,0.7689772645632426,566,10754
27,esm2_t33_650M_UR50D,viral,IAV_H3_HA_Lee,Site Split,0.48161643743515015,0.5222766796747843,0.7189175883928934,0.7930439710617065,0.22196193536122633,0.5053678949673971,566,10754
28,esm2_t33_650M_UR50D,viral,IAV_H3_NP_Doud,Pooled Split,0.5000820954640707,0.5732822418212891,0.7257301012674967,0.6043314735094706,0.4966346224149068,0.6843007604281107,498,9462
29,esm2_t33_650M_UR50D,viral,IAV_H3_NP_Doud,Site Split,1.134470760822296,0.05519511302312217,0.1955082857360442,1.0197484294573467,0.05523367722829181,0.22265826414028803,498,9462
30,esm2_t33_650M_UR50D,viral,IAV_H5_HA_Dadonaite,Pooled Split,1.0684897700945537,0.8215426206588745,0.8189385334650675,2.4171364307403564,0.5955859025319418,0.7452731728553772,567,10550
31,esm2_t33_650M_UR50D,viral,IAV_H5_HA_Dadonaite,Site Split,3.524672031402588,0.4081139763196309,0.5101967503627142,4.84099022547404,0.20713337262471512,0.4688197871049245,567,10550
32,esm2_t33_650M_UR50D,viral,IAV_PB2_Soh,Pooled Split,0.1379808088143666,0.2873881260553996,0.35682439416026074,0.12408487747112906,0.23298720518747965,0.4595140367746353,759,14421
33,esm2_t33_650M_UR50D,viral,IAV_PB2_Soh,Site Split,0.1837309896945953,0.0805332660675049,0.18802733388050305,0.13221482684214905,0.047508080800374296,0.24685286482175192,759,14421
34,esm2_t33_650M_UR50D,viral,IAV_RDRP_Li,Pooled Split,0.31823651989301044,0.2303052544593811,0.37383603801329923,0.3361721336841583,0.16253634293874103,0.41541804869969684,757,12003
35,esm2_t33_650M_UR50D,viral,IAV_RDRP_Li,Site Split,0.42706032594045,-0.0457609891891479,-0.0008010357851162335,0.4179550607999165,0.00019983450571690807,0.18100039164225257,757,12003
36,esm2_t33_650M_UR50D,viral,LASSA_GP_Carr,Pooled Split,0.8997483849525452,0.5692557692527771,0.7119002739588419,1.0596519311269124,0.49026628335316974,0.6752605040868124,491,9275
37,esm2_t33_650M_UR50D,viral,LASSA_GP_Carr,Site Split,1.4683195352554321,0.2972883582115173,0.5110557874043783,1.6957814296086628,0.17900397380193075,0.40060238043467206,491,9275
38,esm2_t33_650M_UR50D,viral,NIPAH_F_Larsen,Pooled Split,0.40310726563135785,0.7692335446675619,0.7396056652069092,0.6578012307484945,0.6160303155581156,0.7130732337633768,602,10079
39,esm2_t33_650M_UR50D,viral,NIPAH_F_Larsen,Site Split,0.6327364246050516,0.641627569993337,0.6771754423777262,1.2339548269907634,0.24054483572642005,0.4540787140528361,602,10079
40,esm2_t33_650M_UR50D,viral,RmYN02_RBD_Starr,Pooled Split,0.7276593049367269,0.34098221858342487,0.5583177208900452,0.6270097096761068,0.2953596512476603,0.6590596040089926,491,3458
41,esm2_t33_650M_UR50D,viral,RmYN02_RBD_Starr,Site Split,0.9432181119918823,0.12156556049982699,0.3867410620053609,0.9333131710688273,0.0587634444236755,0.4154588480790456,491,3458
42,esm2_t33_650M_UR50D,viral,RsYN04_RBD_Starr,Pooled Split,0.5603651603062948,0.6397748589515686,0.4061637322107951,0.46979748209317523,0.6671616236368815,0.5423533419768015,517,3743
43,esm2_t33_650M_UR50D,viral,RsYN04_RBD_Starr,Site Split,1.8934725522994995,-0.0520325899124145,0.06752316032846763,0.46894894043604535,0.018739740053812664,0.13136412141223747,517,3743
44,esm2_t33_650M_UR50D,viral,SARS2_MRPO_Flynn,Pooled Split,0.03828596634169413,0.779123067855835,0.7562852501869202,0.04989993199706074,0.7170970837275187,0.7805732091267904,306,5725
45,esm2_t33_650M_UR50D,viral,SARS2_MRPO_Flynn,Site Split,0.09429500252008437,0.4563286304473877,0.5990034838517507,0.14392140756050742,0.17535314957300818,0.3794405162334442,306,5725
46,esm2_t33_650M_UR50D,viral,SARS2_PLPRO_abundance_Wu,Pooled Split,0.0487093292176723,0.6342946092287699,0.7911240259806315,0.07110319783290224,0.5004457831382751,0.7192201614379883,316,5335
47,esm2_t33_650M_UR50D,viral,SARS2_PLPRO_abundance_Wu,Site Split,0.12317831565936399,0.0813749631245931,0.2990653241674105,0.12966868281364438,0.06014909346898393,0.20087686926126477,316,5335
48,esm2_t33_650M_UR50D,viral,SARS2_PLPRO_activity_Wu,Pooled Split,0.03088808680574093,0.8024884064992269,0.8118753035863241,0.04606736327211056,0.6992492278416952,0.7811910112698873,316,5335
49,esm2_t33_650M_UR50D,viral,SARS2_PLPRO_activity_Wu,Site Split,0.06026802087823546,0.6125579277674357,0.7213436365127563,0.10384363681077953,0.33510130643844604,0.5273010929425558,316,5335
50,esm2_t33_650M_UR50D,viral,SARS2_PRD0038_RBD_Starr,Pooled Split,0.047908719629049266,0.841286301612854,0.6711227496465048,0.07371363292137777,0.7462273438771566,0.6662238041559855,200,3998
51,esm2_t33_650M_UR50D,viral,SARS2_PRD0038_RBD_Starr,Site Split,0.180902324616909,0.4126974741617839,0.38876012961069745,0.21502509216467536,0.25661242008209223,0.3704063793023427,200,3998
52,esm2_t33_650M_UR50D,viral,SARS2_XBB15_RBD_Taylor,Pooled Split,0.07476700345675143,0.8970836599667867,0.7618200778961182,0.18351529041926062,0.743577798207601,0.7468030452728271,201,4019
53,esm2_t33_650M_UR50D,viral,SARS2_XBB15_RBD_Taylor,Site Split,0.2560197462638219,0.6383152405420939,0.5897278090318044,0.6877928376197815,0.14094195763270057,0.4200235605239868,201,4019
54,esm2_t33_650M_UR50D,cellular,AMIE_PSEAE_Whitehead,Pooled Split,0.022589971932272065,0.8418588439623514,0.8840435743331909,0.06604388480385143,0.5574558774630228,0.8108964761098226,346,6568
55,esm2_t33_650M_UR50D,cellular,AMIE_PSEAE_Whitehead,Site Split,0.0493216626346111,0.6605718930562338,0.7716484467188517,0.08725803097089124,0.3442390362421672,0.6261072357495626,346,6568
56,esm2_t33_650M_UR50D,cellular,B3VI55_LIPSTSTABLE,Pooled Split,0.06789261847734447,0.7441830436388651,0.8456066449483236,0.13055882354577375,0.5204934477806091,0.7494094769159952,439,8329
57,esm2_t33_650M_UR50D,cellular,B3VI55_LIPSTSTABLE,Site Split,0.098273254930973,0.6309454838434855,0.7744084795316061,0.1843983083963394,0.3069550196329753,0.5870915651321411,439,8329
58,esm2_t33_650M_UR50D,cellular,B3VI55_LIPST_Whitehead2015,Pooled Split,0.05035557101170216,0.517991820971171,0.7142724593480428,0.07886796693007146,0.25880177815755206,0.4967573980490367,439,8067
59,esm2_t33_650M_UR50D,cellular,B3VI55_LIPST_Whitehead2015,Site Split,0.0632006948192914,0.4019923210144043,0.611000269651413,0.08845625321070345,0.13172920544942215,0.38507089018821716,439,8067
60,esm2_t33_650M_UR50D,cellular,BG_STRSQ_hmmerbit,Pooled Split,0.22903795540332791,0.7030697663625082,0.6547721028327942,0.44582535823186237,0.44651029507319123,0.6814054052035013,501,3500
61,esm2_t33_650M_UR50D,cellular,BG_STRSQ_hmmerbit,Site Split,0.30687215924263,0.6074830094973246,0.6052037080128988,0.48378334442774457,0.37022600571314496,0.6317599018414816,501,3500
62,esm2_t33_650M_UR50D,cellular,BLAT_ECOLX_Ostermeier2014,Pooled Split,0.018435495284696332,0.9104958772659302,0.936467707157135,0.04260670517881707,0.7955314517021179,0.8911871711413065,286,5468
63,esm2_t33_650M_UR50D,cellular,BLAT_ECOLX_Ostermeier2014,Site Split,0.03760908295710877,0.8184702396392822,0.8853822549184164,0.10180126130580897,0.4873269399007161,0.7634223103523254,286,5468
64,esm2_t33_650M_UR50D,cellular,BLAT_ECOLX_Palzkill2012,Pooled Split,0.2853860259056091,0.888599673906962,0.9452975193659464,0.8675253391265869,0.6653234163920084,0.8238369623819987,286,5259
65,esm2_t33_650M_UR50D,cellular,BLAT_ECOLX_Palzkill2012,Site Split,0.8343112270037333,0.6742607355117798,0.8210534850756327,1.8316854238510132,0.2767077883084615,0.5667460759480795,286,5259
66,esm2_t33_650M_UR50D,cellular,BLAT_ECOLX_Ranganathan2015,Pooled Split,0.04459865639607107,0.9662850300470988,0.9415040016174316,0.21626989543437955,0.8382800420125326,0.8973710338274637,286,4996
67,esm2_t33_650M_UR50D,cellular,BLAT_ECOLX_Ranganathan2015,Site Split,0.16729044417540226,0.8740301330884298,0.8857395648956299,0.5320567190647125,0.588469127813975,0.7703092098236084,286,4996
