,Source,Dataset,Split,R2,Model,lassoCV_R2
120,cellular,UBC9_HUMAN_Roth2017,pooled,0.32916196725813146,esm2_650m,0.4229876186741917
121,cellular,UBC9_HUMAN_Roth2017,pooled,0.32916196725813146,esm2_viral_full,0.2845991479162532
124,cellular,UBE4B_MOUSE_Klevit2013_singles,pooled,0.11562532904018828,esm2_650m,0.2656046858079781
125,cellular,UBE4B_MOUSE_Klevit2013_singles,pooled,0.11562532904018828,esm2_viral_full,0.12059668597666186
128,cellular,YAP1_HUMAN_Fields2012_singles,pooled,0.357714939458452,esm2_650m,0.4591907315584774
129,cellular,YAP1_HUMAN_Fields2012_singles,pooled,0.357714939458452,esm2_viral_full,0.3802400005628585
132,viral,BPP22_COAT_Tsuboyama,pooled,0.5514156387331723,esm2_650m,0.8138308064219402
133,viral,BPP22_COAT_Tsuboyama,pooled,0.5514156387331723,esm2_viral_full,0.7691976353181369
136,viral,CVB3_2A_Alvarez,pooled,0.5437504746487545,esm2_650m,0.5853387697091637
137,viral,CVB3_2A_Alvarez,pooled,0.5437504746487545,esm2_viral_full,0.6372082625098701
140,viral,CVB3_2B_Alvarez,pooled,0.2594361556055724,esm2_650m,0.4520572655991764
141,viral,CVB3_2B_Alvarez,pooled,0.2594361556055724,esm2_viral_full,0.5577839874016027
144,viral,CVB3_2C_Alvarez,pooled,0.2501809114886469,esm2_650m,0.4645627784475362
145,viral,CVB3_2C_Alvarez,pooled,0.2501809114886469,esm2_viral_full,0.46033263641864375
148,viral,CVB3_3A_Alvarez,pooled,0.2786165716068542,esm2_650m,0.4883738768239154
149,viral,CVB3_3A_Alvarez,pooled,0.2786165716068542,esm2_viral_full,0.5323679230773123
152,viral,CVB3_3B_Alvarez,pooled,0.5013960744103936,esm2_650m,0.5841193932805049
153,viral,CVB3_3B_Alvarez,pooled,0.5013960744103936,esm2_viral_full,0.5788586469491218
156,viral,CVB3_3C_Alvarez,pooled,0.3277296209725238,esm2_650m,0.47334690062564055
157,viral,CVB3_3C_Alvarez,pooled,0.3277296209725238,esm2_viral_full,0.5363971849276035
160,viral,CVB3_3D_Alvarez,pooled,0.2811274039537483,esm2_650m,0.42111936976219005
161,viral,CVB3_3D_Alvarez,pooled,0.2811274039537483,esm2_viral_full,0.5025405930485755
164,viral,CVB3_POLG_Mattenberger,pooled,0.48793306052886704,esm2_650m,0.303075367247381
165,viral,CVB3_POLG_Mattenberger,pooled,0.48793306052886704,esm2_viral_full,0.35326207718614994
168,viral,CVB3_VP1_Alvarez,pooled,0.2711849377954214,esm2_650m,0.35756650993486394
169,viral,CVB3_VP1_Alvarez,pooled,0.2711849377954214,esm2_viral_full,0.42051308290042444
172,viral,CVB3_VP3_Alvarez,pooled,0.14723986516299653,esm2_650m,0.2798191110194284
173,viral,CVB3_VP3_Alvarez,pooled,0.14723986516299653,esm2_viral_full,0.38901969969640754
176,viral,DENV_POLG_Suphatrakul,pooled,0.5517422883064163,esm2_650m,0.3511264249566522
177,viral,DENV_POLG_Suphatrakul,pooled,0.5517422883064163,esm2_viral_full,0.43357273063320495
180,viral,EV_CAPSD_Bakhache,pooled,0.23140438994154,esm2_650m,0.18392707844610823
181,viral,EV_CAPSD_Bakhache,pooled,0.23140438994154,esm2_viral_full,0.20708062259367707
184,viral,EV_REP_Bakhache,pooled,0.3236901246004185,esm2_650m,0.2647529286223275
185,viral,EV_REP_Bakhache,pooled,0.3236901246004185,esm2_viral_full,0.2527216530752117
188,viral,HIV1_BF520_ENV_Haddox,pooled,0.6460453538598504,esm2_650m,0.4116451462851522
189,viral,HIV1_BF520_ENV_Haddox,pooled,0.6460453538598504,esm2_viral_full,0.47936740917766657
192,viral,HIV1_BG505_ENV_Haddox,pooled,0.6159435158979398,esm2_650m,0.42095932935906216
193,viral,HIV1_BG505_ENV_Haddox,pooled,0.6159435158979398,esm2_viral_full,0.5143095077701169
196,viral,HIV1_HV1B9_ENV_DuenasDecamp,pooled,0.21869697394667206,esm2_650m,0.267539592923
