,Dataset,Source,Split,R2_AVG,R2_ESM2_650M
62,SARS2_RBD_binding_Starr,viral,pool_split,0.6135464713458002,0.5785447401116277
63,SARS2_RBD_expression_Starr,viral,pool_split,0.6950232014663101,0.5744326187651452
64,SARS2_XBB15_RBD_Taylor,viral,pool_split,0.629745931652599,-0.19676412258599213
65,SUMO1_HUMAN_Roth2017,cellular,pool_split,0.2518873823956261,0.4097192624401675
66,TIM_SULSO,cellular,pool_split,0.3968125834932185,0.5743655646222677
67,TIM_THEMA,cellular,pool_split,0.3867196081779592,0.5799652222389271
68,TIM_THETH,cellular,pool_split,0.4830594416104963,0.6582579213947206
69,TPK1_HUMAN_Roth2017,cellular,pool_split,-0.028948600990812732,0.12937352025652923
70,TPMT_HUMAN_Fowler2018,cellular,pool_split,0.2294634520245217,0.45801639943905653
71,UBC9_HUMAN_Roth2017,cellular,pool_split,0.32916196725813146,0.40343821311668854
72,UBE4B_MOUSE_Klevit2013_singles,cellular,pool_split,0.11562532904018828,0.24009335149466712
73,YAP1_HUMAN_Fields2012_singles,cellular,pool_split,0.357714939458452,0.45392373014952236
