,Dataset,Source,Model,R2
97,EV_REP_Bakhache,Viral,R2_mut,0.0363
98,CVB3_3D_Alvarez,Viral,R2_mut,0.0294
99,NIPAH_F_Larsen,Viral,R2_mut,0.0659
100,IAV_H5_HA_Dadonaite,Viral,R2_mut,0.0578
101,SARS2_XBB15_RBD_Taylor,Viral,R2_mut,0.0196
102,HIV1_BF520_ENV_Haddox,Viral,R2_mut,0.0265
103,CVB3_VP3_Alvarez,Viral,R2_mut,0.0472
104,IAV_H3_HA_Lee,Viral,R2_mut,0.0315
105,RmYN02_RBD_Starr,Viral,R2_mut,0.01
106,IAV_H3_NP_Doud,Viral,R2_mut,0.034
107,IAV_H1_HA_Doud,Viral,R2_mut,0.0402
108,IAV_H1_NP_Doud,Viral,R2_mut,0.0464
109,IAV_PA_Wu,Viral,R2_mut,0.0185
110,SARS2_MRPO_Flynn,Viral,R2_mut,0.0526
111,SARS2_PLPRO_abundance_Wu,Viral,R2_mut,0.038
112,LAMBDA_HCP_Tsuboyama,Viral,R2_mut,0.1253
113,SARS2_PRD0038_RBD_Starr,Viral,R2_mut,0.0204
114,CVB3_3C_Alvarez,Viral,R2_mut,0.028
115,CVB3_2C_Alvarez,Viral,R2_mut,0.0547
116,LASSA_GP_Carr,Viral,R2_mut,0.0523
117,SARS2_RBD_binding_Starr,Viral,R2_mut,0.0344
118,CVB3_2A_Alvarez,Viral,R2_mut,0.0556
119,CVB3_3A_Alvarez,Viral,R2_mut,0.0557
120,SARS2_PLPRO_activity_Wu,Viral,R2_mut,0.0494
121,SARS2_BA1_SPIKE_Dadonaite,Viral,R2_mut,0.021
122,SARS2_RBD_expression_Starr,Viral,R2_mut,0.0136
123,TIM_THETH,Cellular,R2_mut,0.0629
124,TIM_THEMA,Cellular,R2_mut,0.046
125,MK01_HUMAN_Johannessen,Cellular,R2_mut,0.0356
126,IF1_ECOLI,Cellular,R2_mut,0.0872
127,TIM_SULSO,Cellular,R2_mut,0.0691
128,RL401_YEAST_Fraser2016,Cellular,R2_mut,0.063
129,RASH_HUMAN_Kuriyan,Cellular,R2_mut,0.0513
130,MTH3_HAEAESTABILIZED_Tawfik2015,Cellular,R2_mut,0.0356
131,AMIE_PSEAE_Whitehead,Cellular,R2_mut,0.0449
132,TPMT_HUMAN_Fowler2018,Cellular,R2_mut,0.1491
133,PTEN_HUMAN_Fowler2018,Cellular,R2_mut,0.1318
134,BG_STRSQ_hmmerbit,Cellular,R2_mut,0.0579
135,DLG4_RAT_Ranganathan2012,Cellular,R2_mut,0.0703
136,TPK1_HUMAN_Roth2017,Cellular,R2_mut,0.0265
137,GAL4_YEAST_Shendure2015,Cellular,R2_mut,0.0286
138,UBE4B_MOUSE_Klevit2013_singles,Cellular,R2_mut,0.0281
139,PABP_YEAST_Fields2013_singles,Cellular,R2_mut,0.0807
140,HSP82_YEAST_Bolon2016,Cellular,R2_mut,0.0392
141,BLAT_ECOLX_Ostermeier2014,Cellular,R2_mut,0.0521
142,BRCA1_HUMAN_RING,Cellular,R2_mut,0.1059
143,KKA2_KLEPN_Mikkelsen2014,Cellular,R2_mut,0.0297
