,Model,Source,Dataset,Split,train_loss,train_r2,train_rho,val_loss,val_r2,val_rho,protein_length,sample_size
0,esm2_t33_650M_UR50D,viral,CVB3_2A_Alvarez,Pooled Split,0.7600631912549337,0.5954635341962179,0.6514830986658732,0.6982929309209188,0.6007784406344095,0.716495136419932,150,2992
1,esm2_t33_650M_UR50D,viral,CVB3_2A_Alvarez,Site Split,1.4129192034403484,0.23771744966506955,0.3973485231399536,1.5666621923446655,0.16836386919021606,0.31714922686417896,150,2992
2,esm2_t33_650M_UR50D,viral,CVB3_2C_Alvarez,Pooled Split,0.925810714562734,0.4750863512357076,0.6745462616284689,0.9339427550633749,0.4792919158935547,0.7215212186177572,329,6573
3,esm2_t33_650M_UR50D,viral,CVB3_2C_Alvarez,Site Split,1.3559263547261555,0.2310260931650797,0.48656468590100604,1.4220476150512695,0.2047416567802429,0.5058707098166147,329,6573
4,esm2_t33_650M_UR50D,viral,CVB3_3C_Alvarez,Pooled Split,0.6289430260658264,0.6075944503148397,0.7053595781326294,0.6127582391103109,0.6042333046595255,0.7017877101898193,183,3654
5,esm2_t33_650M_UR50D,viral,CVB3_3C_Alvarez,Site Split,1.2829869190851848,0.19542014598846433,0.4607204298178355,1.1997890869776409,0.2212579250335693,0.48997029662132263,183,3654
6,esm2_t33_650M_UR50D,viral,CVB3_3D_Alvarez,Pooled Split,0.8252561887105306,0.48627368609110516,0.6662514805793762,0.7876023252805074,0.4995376070340474,0.7033002972602844,462,9217
7,esm2_t33_650M_UR50D,viral,CVB3_3D_Alvarez,Site Split,1.3147145907084148,0.1829679807027181,0.42879026134808856,1.1939964691797893,0.23337922493616736,0.5358290175596873,462,9217
8,esm2_t33_650M_UR50D,viral,CVB3_VP1_Alvarez,Pooled Split,1.335042158762614,0.42923867702484125,0.6163616379102071,1.3518259525299072,0.42072443167368573,0.6249513427416483,281,5235
9,esm2_t33_650M_UR50D,viral,CVB3_VP1_Alvarez,Site Split,2.2124856313069663,0.06282506386439003,0.29198505481084186,2.0614561637242637,0.0664123892784118,0.3569841186205546,281,5235
10,esm2_t33_650M_UR50D,viral,CVB3_VP3_Alvarez,Pooled Split,1.2679164409637451,0.30638643105824787,0.45834100246429443,1.2450579404830933,0.3114175796508789,0.47884074846903485,238,4526
11,esm2_t33_650M_UR50D,viral,CVB3_VP3_Alvarez,Site Split,1.5831536054611206,0.12935666243235264,0.31194179753462464,1.517617146174113,0.14135758082071934,0.36570080121358234,238,4526
12,esm2_t33_650M_UR50D,viral,DENV_POLG_Suphatrakul,Pooled Split,3.835801601409912,0.4420134623845418,0.6604508558909098,3.8698593775431314,0.4411363403002421,0.7062877615292867,900,16897
13,esm2_t33_650M_UR50D,viral,DENV_POLG_Suphatrakul,Site Split,6.3387118975321455,0.07595886786778765,0.28715629378954566,6.3156890869140625,0.09355851014455153,0.3120306730270386,900,16897
14,esm2_t33_650M_UR50D,viral,EV_CAPSD_Bakhache,Pooled Split,3.879385312398275,-0.004423697789510067,0.005001857721557233,3.7771177291870117,0.001480440298716209,0.15819574892520905,862,16378
